CVE_ID,Severity,Base_Score,CVSS_Vector,Published_Date,Last_Modified,Description
CVE-1999-0368,N/A,N/A,N/A,1999-02-09,2025-04-03,"Buffer overflows in wuarchive ftpd (wu-ftpd) and ProFTPD lead to remote root access, a.k.a. palmetto."
CVE-1999-0911,N/A,N/A,N/A,1999-08-27,2025-04-03,"Buffer overflow in ProFTPD, wu-ftpd, and beroftpd allows remote attackers to gain root access via a series of MKD and CWD commands that create nested directories."
CVE-1999-1475,N/A,N/A,N/A,1999-11-19,2025-04-03,"ProFTPd 1.2 compiled with the mod_sqlpw module records user passwords in the wtmp log file, which allows local users to obtain the passwords and gain privileges by reading wtmp, e.g. via the last command."
CVE-2000-0574,N/A,N/A,N/A,2000-07-07,2025-04-03,"FTP servers such as OpenBSD ftpd, NetBSD ftpd, ProFTPd and Opieftpd do not properly cleanse untrusted format strings that are used in the setproctitle function (sometimes called by set_proc_title), which allows remote attackers to cause a denial of service or execute arbitrary commands."
CVE-2001-0027,N/A,N/A,N/A,2001-02-12,2025-04-03,"mod_sqlpw module in ProFTPD does not reset a cached password when a user uses the ""user"" command to change accounts, which allows authenticated attackers to gain privileges of other users."
CVE-2001-0136,N/A,N/A,N/A,2001-03-12,2025-04-03,"Memory leak in ProFTPd 1.2.0rc2 allows remote attackers to cause a denial of service via a series of USER commands, and possibly SIZE commands if the server has been improperly installed."
CVE-2001-0318,N/A,N/A,N/A,2001-06-02,2025-04-03,Format string vulnerability in ProFTPD 1.2.0rc2 may allow attackers to execute arbitrary commands by shutting down the FTP server while using a malformed working directory (cwd).
CVE-2001-0456,N/A,N/A,N/A,2001-06-27,2025-04-03,"postinst installation script for Proftpd in Debian 2.2 does not properly change the ""run as uid/gid root"" configuration when the user enables anonymous access, which causes the server to run at a higher privilege than intended."
CVE-2001-1500,N/A,N/A,N/A,2001-12-31,2025-04-03,"ProFTPD 1.2.2rc2, and possibly other versions, does not properly verify reverse-resolved hostnames by performing forward resolution, which allows remote attackers to bypass ACLs or cause an incorrect client hostname to be logged."
CVE-2001-1501,N/A,N/A,N/A,2001-12-31,2025-04-03,"The glob functionality in ProFTPD 1.2.1, and possibly other versions allows remote attackers to cause a denial of service (CPU and memory consumption) via commands with large numbers of wildcard and other special characters, as demonstrated using an ls command with multiple (1) ""*/.."", (2) ""*/.*"", or (3) "".*./*?/"" sequences in the argument."
CVE-2003-0500,N/A,N/A,N/A,2003-08-07,2025-04-03,SQL injection vulnerability in the PostgreSQL authentication module (mod_sql_postgres) for ProFTPD before 1.2.9rc1 allows remote attackers to execute arbitrary SQL and gain privileges by bypassing authentication or stealing passwords via the USER name.
CVE-2003-0831,N/A,N/A,N/A,2003-11-17,2025-04-03,"ProFTPD 1.2.7 through 1.2.9rc2 does not properly translate newline characters when transferring files in ASCII mode, which allows remote attackers to execute arbitrary code via a buffer overflow using certain files."
CVE-2004-0529,N/A,N/A,N/A,2004-08-06,2025-04-03,"The modified suexec program in cPanel, when configured for mod_php and compiled for Apache 1.3.31 and earlier without mod_phpsuexec, allows local users to execute untrusted shared scripts and gain privileges, as demonstrated using untainted scripts such as (1) proftpdvhosts or (2) addalink.cgi, a different vulnerability than CVE-2004-0490."
CVE-2004-0432,N/A,N/A,N/A,2004-08-18,2025-04-03,"ProFTPD 1.2.9 treats the Allow and Deny directives for CIDR based ACL entries as if they were AllowAll, which could allow FTP clients to bypass intended access restrictions."
CVE-2004-1602,N/A,N/A,N/A,2004-10-15,2025-04-03,"ProFTPD 1.2.x, including 1.2.8 and 1.2.10, responds in a different amount of time when a given username exists, which allows remote attackers to identify valid usernames by timing the server response."
CVE-2004-0346,HIGH,7.8,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,2004-11-23,2025-04-03,Off-by-one buffer overflow in _xlate_ascii_write() in ProFTPD 1.2.7 through 1.2.9rc2p allows local users to gain privileges via a 1024 byte RETR command.
CVE-2005-0484,N/A,N/A,N/A,2005-03-30,2025-04-03,Format string vulnerability in gprostats for GProFTPD before 8.1.9 may allow remote attackers to execute arbitrary code via an FTP transfer with a crafted filename that causes format string specifiers to be inserted into the ProFTPD transfer log.
CVE-2005-2390,N/A,N/A,N/A,2005-07-27,2025-04-03,"Multiple format string vulnerabilities in ProFTPD before 1.3.0rc2 allow attackers to cause a denial of service or obtain sensitive information via (1) certain inputs to the shutdown message from ftpshut, or (2) the SQLShowInfo mod_sql directive."
CVE-2005-4816,N/A,N/A,N/A,2005-12-31,2025-04-03,Buffer overflow in mod_radius in ProFTPD before 1.3.0rc2 allows remote attackers to cause a denial of service (crash) and possibly execute arbitrary code via a long password.
CVE-2006-5815,N/A,N/A,N/A,2006-11-08,2025-04-09,"Stack-based buffer overflow in the sreplace function in ProFTPD 1.3.0 and earlier allows remote attackers, probably authenticated, to cause a denial of service and execute arbitrary code, as demonstrated by vd_proftpd.pm, a ""ProFTPD remote exploit."""
CVE-2006-6170,N/A,N/A,N/A,2006-11-30,2025-04-09,"Buffer overflow in the tls_x509_name_oneline function in the mod_tls module, as used in ProFTPD 1.3.0a and earlier, and possibly other products, allows remote attackers to execute arbitrary code via a large data length argument, a different vulnerability than CVE-2006-5815."
